INFO:yolov5:YOLOv5 🚀 v6.1-208-g15057d2 Python-3.7.13 torch-1.8.2+cpu CPU

INFO:yolov5:Fusing layers... 
INFO:yolov5:YOLOv5s summary: 213 layers, 7225885 parameters, 0 gradients, 16.4 GFLOPs
INFO:yolov5:Adding AutoShape... 
INFO:yolov5:YOLOv5 🚀 v6.1-208-g15057d2 Python-3.7.13 torch-1.8.2+cpu CPU

INFO:yolov5:Fusing layers... 
INFO:yolov5:custom_YOLOv5l summary: 400 layers, 47364662 parameters, 0 gradients
INFO:yolov5:Adding AutoShape... 
WARNING:easyocr.easyocr:CUDA not available - defaulting to CPU. Note: This module is much faster with a GPU.
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:53:51] "GET /dashboard/vehicleToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:53:51] "GET /dashboard/suspiciousToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:53:51] "GET /pieVehicles HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:53:51] "GET /barVehicles HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:53:52] "GET /carCounts/2022-08-14/2022-08-20 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:01] "GET /dashboard/vehicleTotal HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:02] "GET /dashboard/suspiciousToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:02] "GET /dashboard/vehicleToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:02] "GET /dashboard/suspiciousToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:02] "GET /pieVehicles HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:02] "GET /barVehicles HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:02] "GET /carCounts/2022-08-14/2022-08-20 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:05] "POST /video_feed/destroy_webcam HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:05] "GET /dashboard/recentVisits HTTP/1.1" 200 -
